Query_Number,Cost_AIndex
Total Initial Cost Q1,1000.0
Total Final Cost Q1,744577.28
Total Initial Cost Q2,1000.0
Total Final Cost Q2,744577.28
Total Initial Cost Q3,1000.0
Total Final Cost Q3,744577.5800000001
Total Initial Cost Q4,373788.71
Total Final Cost Q4,1117366.02
Total Initial Cost Q5,373788.71
Total Final Cost Q5,1117366.02
Total Initial Cost Q6,1000.0
Total Final Cost Q6,744577.28
Total Initial Cost Q7,1000.0
Total Final Cost Q7,744577.28
Total Initial Cost Q8,1000.0
Total Final Cost Q8,744577.28
Total Initial Cost Q9,1000.0
Total Final Cost Q9,744577.28
Total Initial Cost Q10,1000.0
Total Final Cost Q10,739924.14
Total Initial Cost Q11,1000.0
Total Final Cost Q11,725950.06
Total Initial Cost Q12,1452470.6
Total Final Cost Q12,1816151.32
Total Initial Cost Q13,1452470.6
Total Final Cost Q13,1816151.32
Total Initial Cost Q14,1451888.56
Total Final Cost Q14,1814374.92
Total Initial Cost Q15,1111258.91
Total Final Cost Q15,1481240.1900000002
Total Initial Cost Q16,1000.0
Total Final Cost Q16,736377.98
Total Initial Cost Q17,1000.0
Total Final Cost Q17,736447.86
